NestID,BandID,startI,endI,NestFate,geometry
9084_2023_1,9084,2023-05-27,2023-06-19,1,"c(1958222.76073321, 106135.574001223)"
9085_2023_1,9085,2023-05-31,2023-06-25,1,"c(1958755.09058669, 106830.592422209)"
9085_2024_1,9085,2024-05-03,2024-05-14,0,"c(1957838.01019281, 111553.742007259)"
9087_2023_1,9087,2023-05-18,2023-05-24,0,"c(1956169.81137703, 105054.491782018)"
9090_2023_1,9090,2023-05-04,2023-05-24,1,"c(1974537.77076567, 120177.756450726)"
9090_2024_1,9090,2024-04-12,2024-05-02,0,"c(1974820.54198512, 120128.788026035)"
9093_2023_1,9093,2023-05-06,2023-05-15,0,"c(1946490.84446325, 96577.3015671798)"
9094_2023_1,9094,2023-05-08,2023-05-15,0,"c(1945351.98174317, 96193.4142270615)"
9096_2023_1,9096,2023-05-09,2023-05-16,0,"c(1945385.04849435, 95199.1683142072)"
9100_2024_1,9100,2024-05-02,2024-05-23,1,"c(1941369.15836838, 20590.214224989)"
9101_2024_1,9101,2024-05-08,2024-06-01,0,"c(1937686.53198899, 17426.2626100791)"
9102_2024_1,9102,2024-04-29,2024-05-20,0,"c(1938019.32477545, 17358.6382717636)"
9103_2024_1,9103,2024-04-20,2024-05-04,1,"c(1951857.31881482, -2877.9246412379)"
9104_2024_2,9104,2024-05-21,2024-05-31,0,"c(1952002.87828269, 3997.06426801024)"
9104_2024_1,9104,2024-04-20,2024-04-25,0,"c(1951933.93684686, -4846.82126106751)"
9105_2024_1,9105,2024-05-07,2024-05-14,0,"c(1924933.14939382, 68135.494788006)"
9107_2024_1,9107,2024-04-26,2024-05-21,1,"c(1919431.12290133, 65882.8998928755)"
9108_2024_1,9108,2024-05-04,2024-05-16,1,"c(1925297.62335272, 67535.4102284407)"
9112_2024_1,9112,2024-05-02,2024-05-10,1,"c(1942449.72221474, 85937.3559253079)"
9115_2024_1,9115,2024-05-23,2024-06-16,1,"c(1941778.22890011, 86874.7966863674)"
9116_2024_1,9116,2024-04-30,2024-05-12,0,"c(1940683.10050223, 87378.6349829717)"
9975_2024_1,9975,2024-05-07,2024-05-14,0,"c(1784897.97429225, 61773.4902909711)"
10001_2024_1,10001,2024-04-19,2024-04-26,0,"c(1924819.43349968, 150083.939061234)"
10001_2024_2,10001,2024-06-05,2024-06-16,0,"c(1924963.33868508, 148967.597296679)"
10002_2024_1,10002,2024-05-16,2024-05-29,1,"c(1923008.28454539, 151796.691496453)"
10004_2024_1,10004,2024-05-08,2024-05-17,0,"c(1922843.08877651, 147410.95783312)"
10004_2024_2,10004,2024-06-12,2024-06-30,0,"c(1924387.17072526, 148533.87220634)"
10006_2024_1,10006,2024-05-08,2024-05-30,1,"c(1923098.04414939, 149187.397005704)"
10008_2024_2,10008,2024-06-19,2024-07-13,1,"c(1914386.39555207, 147438.10304807)"
10008_2024_1,10008,2024-04-25,2024-05-12,0,"c(1917758.6782306, 144511.831065971)"
10009_2024_1,10009,2024-05-16,2024-06-03,1,"c(1910877.74346628, 142013.766611873)"
10014_2024_2,10014,2024-06-06,2024-06-13,0,"c(1914379.50678482, 147178.711087491)"
10014_2024_1,10014,2024-05-06,2024-05-10,0,"c(1915829.9184586, 146418.113023142)"
10015_2024_1,10015,2024-05-09,2024-05-28,1,"c(1925500.5939827, 175545.55579249)"
10056_2024_2,10056,2024-04-30,2024-05-03,0,"c(1982851.03786494, 83567.1439911978)"
10056_2024_4,10056,2024-06-07,2024-07-03,1,"c(1983817.58773871, 84388.1122793575)"
10057_2024_1,10057,2024-05-03,2024-05-29,1,"c(1984096.20796789, 84272.3406635934)"
10058_2024_1,10058,2024-04-20,2024-05-07,0,"c(1986057.90045888, 88910.5848683575)"
10060_2024_2,10060,2024-05-31,2024-06-02,0,"c(1982269.58082998, 81732.1636750967)"
